GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - Less than 9th grade
HD02_VD02,Margin of Error; Total: - Less than 9th grade
HD01_VD03,"Estimate; Total: - 9th to 12th grade, no diploma"
HD02_VD03,"Margin of Error; Total: - 9th to 12th grade, no diploma"
HD01_VD04,Estimate; Total: - High school graduate (includes equivalency)
HD02_VD04,Margin of Error; Total: - High school graduate (includes equivalency)
HD01_VD05,"Estimate; Total: - Some college, no degree"
HD02_VD05,"Margin of Error; Total: - Some college, no degree"
HD01_VD06,Estimate; Total: - Associate's degree
HD02_VD06,Margin of Error; Total: - Associate's degree
HD01_VD07,Estimate; Total: - Bachelor's degree
HD02_VD07,Margin of Error; Total: - Bachelor's degree
HD01_VD08,Estimate; Total: - Graduate or professional degree
HD02_VD08,Margin of Error; Total: - Graduate or professional degree
