State, HeartAttackFactor ,OwnedHousing,RentedHousing
AL, 0.009 ,1246080,595137
AK, 0.018 ,156006,93653
AZ, 0.004 ,1484857,943886
AR, 0.013 ,744318,386970
CA, 0.009 ,6855688,5902960
CO, 0.005 ,1302533,737059
CT, 0.009 ,900039,455778
DE, 0.016 ,245808,103935
DC, 0.017 ,112492,164886
FL, 0.008 ,4693821,2634225
GA, 0.012 ,2232553,1354968
HI, 0.010 ,255375,195394
ID, 0.011 ,402394,189193
IL, 0.014 ,3125655,1646766
IN, 0.006 ,1716341,786398
IA, 0.009 ,879878,361593
KS, 0.006 ,739168,370112
KY, 0.007 ,1131197,580897
LA, 0.011 ,1106785,611409
ME, 0.009 ,392139,157702
MD, 0.005 ,1426748,738690
MA, 0.004 ,1570332,979004
MI, 0.009 ,2693284,1141290
MN, 0.005 ,1526406,602789
MS, 0.018 ,741504,354319
MO, 0.010 ,1575626,779183
MT, 0.009 ,272856,138106
NE, 0.003 ,488438,252327
NV, 0.021 ,547905,473614
NH, 0.011 ,364996,154760
NJ, 0.006 ,2021062,1173782
NM, 0.008 ,509151,251765
NY, 0.012 ,3857906,3424492
NC, 0.011 ,2435384,1355236
ND, 0.009 ,195002,110429
OH, 0.007 ,3000748,1592424
OK, 0.009 ,950817,508942
OR, 0.015 ,932392,603119
PA, 0.007 ,3404164,1541808
RI, 0.012 ,240878,168776
SC, 0.007 ,1243177,583737
SD, 0.010 ,228010,106465
TN, 0.013 ,1659797,849868
TX, 0.004 ,5674241,3602956
UT, 0.005 ,635163,283207
VT, 0.013 ,180184,77045
VA, 0.008 ,2014812,1069008
WA, 0.007 ,1654620,1024981
WV, 0.014 ,530755,204620
WI, 0.011 ,1536893,770792
WY, 0.010 ,155617,76977
PR, 0.014 ,837840,395650
